_time,Amount of Users Detected
2020-02-10T04:00:00.000+1100,34
2020-02-10T04:30:00.000+1100,49
2020-02-10T05:00:00.000+1100,7
2020-02-10T05:30:00.000+1100,4
2020-02-10T06:00:00.000+1100,32
2020-02-10T06:30:00.000+1100,10
2020-02-10T07:00:00.000+1100,23
2020-02-10T07:30:00.000+1100,43
2020-02-10T08:00:00.000+1100,92
2020-02-10T08:30:00.000+1100,157
2020-02-10T09:00:00.000+1100,88
2020-02-10T09:30:00.000+1100,83
2020-02-10T10:00:00.000+1100,87
2020-02-10T10:30:00.000+1100,99
2020-02-10T11:00:00.000+1100,100
2020-02-10T11:30:00.000+1100,93
2020-02-10T12:00:00.000+1100,120
2020-02-10T12:30:00.000+1100,126
2020-02-10T13:00:00.000+1100,138
2020-02-10T13:30:00.000+1100,134
2020-02-10T14:00:00.000+1100,121
2020-02-10T14:30:00.000+1100,148
2020-02-10T15:00:00.000+1100,125
2020-02-10T15:30:00.000+1100,122
2020-02-10T16:00:00.000+1100,137
2020-02-10T16:30:00.000+1100,81
2020-02-10T17:00:00.000+1100,122
2020-02-10T17:30:00.000+1100,62
2020-02-10T18:00:00.000+1100,45
2020-02-10T18:30:00.000+1100,32
2020-02-10T19:00:00.000+1100,9
2020-02-10T19:30:00.000+1100,7
2020-02-10T20:00:00.000+1100,5
2020-02-10T20:30:00.000+1100,4
2020-02-10T21:00:00.000+1100,3
2020-02-10T21:30:00.000+1100,5
2020-02-10T22:00:00.000+1100,4
2020-02-10T22:30:00.000+1100,4
2020-02-10T23:00:00.000+1100,4
2020-02-10T23:30:00.000+1100,4
2020-02-11T00:00:00.000+1100,374
2020-02-11T00:30:00.000+1100,184
2020-02-11T01:00:00.000+1100,81
2020-02-11T01:30:00.000+1100,114
2020-02-11T02:00:00.000+1100,3
2020-02-11T02:30:00.000+1100,4
2020-02-11T03:00:00.000+1100,3
2020-02-11T03:30:00.000+1100,5
2020-02-11T04:00:00.000+1100,17
2020-02-11T04:30:00.000+1100,19
2020-02-11T05:00:00.000+1100,6
2020-02-11T05:30:00.000+1100,3
2020-02-11T06:00:00.000+1100,64
2020-02-11T06:30:00.000+1100,6
2020-02-11T07:00:00.000+1100,14
2020-02-11T07:30:00.000+1100,64
2020-02-11T08:00:00.000+1100,91
2020-02-11T08:30:00.000+1100,106
2020-02-11T09:00:00.000+1100,126
2020-02-11T09:30:00.000+1100,279
2020-02-11T10:00:00.000+1100,189
2020-02-11T10:30:00.000+1100,192
2020-02-11T11:00:00.000+1100,227
2020-02-11T11:30:00.000+1100,215
2020-02-11T12:00:00.000+1100,199
2020-02-11T12:30:00.000+1100,140
2020-02-11T13:00:00.000+1100,222
2020-02-11T13:30:00.000+1100,169
2020-02-11T14:00:00.000+1100,194
2020-02-11T14:30:00.000+1100,202
2020-02-11T15:00:00.000+1100,202
2020-02-11T15:30:00.000+1100,197
2020-02-11T16:00:00.000+1100,163
2020-02-11T16:30:00.000+1100,139
2020-02-11T17:00:00.000+1100,98
2020-02-11T17:30:00.000+1100,90
2020-02-11T18:00:00.000+1100,29
2020-02-11T18:30:00.000+1100,21
2020-02-11T19:00:00.000+1100,17
2020-02-11T19:30:00.000+1100,6
2020-02-11T20:00:00.000+1100,9
2020-02-11T20:30:00.000+1100,5
2020-02-11T21:00:00.000+1100,5
2020-02-11T21:30:00.000+1100,7
2020-02-11T22:00:00.000+1100,4
2020-02-11T22:30:00.000+1100,5
2020-02-11T23:00:00.000+1100,4
2020-02-11T23:30:00.000+1100,5
2020-02-12T00:00:00.000+1100,143
2020-02-12T00:30:00.000+1100,29
2020-02-12T01:00:00.000+1100,192
2020-02-12T01:30:00.000+1100,171
2020-02-12T02:00:00.000+1100,140
2020-02-12T02:30:00.000+1100,84
2020-02-12T03:00:00.000+1100,4
2020-02-12T03:30:00.000+1100,6
2020-02-12T04:00:00.000+1100,46
2020-02-12T04:30:00.000+1100,11
2020-02-12T05:00:00.000+1100,4
2020-02-12T05:30:00.000+1100,4
2020-02-12T06:00:00.000+1100,89
2020-02-12T06:30:00.000+1100,12
2020-02-12T07:00:00.000+1100,19
2020-02-12T07:30:00.000+1100,42
2020-02-12T08:00:00.000+1100,99
2020-02-12T08:30:00.000+1100,131
2020-02-12T09:00:00.000+1100,258
2020-02-12T09:30:00.000+1100,339
2020-02-12T10:00:00.000+1100,363
2020-02-12T10:30:00.000+1100,411
2020-02-12T11:00:00.000+1100,269
2020-02-12T11:30:00.000+1100,279
2020-02-12T12:00:00.000+1100,221
2020-02-12T12:30:00.000+1100,254
2020-02-12T13:00:00.000+1100,255
2020-02-12T13:30:00.000+1100,215
2020-02-12T14:00:00.000+1100,57
2020-02-12T14:30:00.000+1100,210
2020-02-12T15:00:00.000+1100,120
2020-02-12T15:30:00.000+1100,126
2020-02-12T16:00:00.000+1100,94
2020-02-12T16:30:00.000+1100,114
2020-02-12T17:00:00.000+1100,64
2020-02-12T17:30:00.000+1100,46
2020-02-12T18:00:00.000+1100,28
2020-02-12T18:30:00.000+1100,13
2020-02-12T19:00:00.000+1100,13
2020-02-12T19:30:00.000+1100,9
2020-02-12T20:00:00.000+1100,9
2020-02-12T20:30:00.000+1100,5
2020-02-12T21:00:00.000+1100,6
2020-02-12T21:30:00.000+1100,4
2020-02-12T22:00:00.000+1100,5
2020-02-12T22:30:00.000+1100,5
2020-02-12T23:00:00.000+1100,5
2020-02-12T23:30:00.000+1100,4
2020-02-13T00:00:00.000+1100,80
2020-02-13T00:30:00.000+1100,65
2020-02-13T01:00:00.000+1100,86
2020-02-13T01:30:00.000+1100,15
2020-02-13T02:00:00.000+1100,6
2020-02-13T02:30:00.000+1100,5
2020-02-13T03:00:00.000+1100,5
2020-02-13T03:30:00.000+1100,7
2020-02-13T04:00:00.000+1100,63
2020-02-13T04:30:00.000+1100,78
2020-02-13T05:00:00.000+1100,3
2020-02-13T05:30:00.000+1100,3
2020-02-13T06:00:00.000+1100,62
2020-02-13T06:30:00.000+1100,34
2020-02-13T07:00:00.000+1100,13
2020-02-13T07:30:00.000+1100,76
2020-02-13T08:00:00.000+1100,111
2020-02-13T08:30:00.000+1100,96
2020-02-13T09:00:00.000+1100,107
2020-02-13T09:30:00.000+1100,154
2020-02-13T10:00:00.000+1100,95
2020-02-13T10:30:00.000+1100,89
2020-02-13T11:00:00.000+1100,114
2020-02-13T11:30:00.000+1100,136
2020-02-13T12:00:00.000+1100,139
2020-02-13T12:30:00.000+1100,93
2020-02-13T13:00:00.000+1100,138
2020-02-13T13:30:00.000+1100,159
2020-02-13T14:00:00.000+1100,140
2020-02-13T14:30:00.000+1100,132
2020-02-13T15:00:00.000+1100,140
2020-02-13T15:30:00.000+1100,158
2020-02-13T16:00:00.000+1100,106
2020-02-13T16:30:00.000+1100,134
2020-02-13T17:00:00.000+1100,123
2020-02-13T17:30:00.000+1100,91
2020-02-13T18:00:00.000+1100,93
2020-02-13T18:30:00.000+1100,67
2020-02-13T19:00:00.000+1100,64
2020-02-13T19:30:00.000+1100,58
2020-02-13T20:00:00.000+1100,49
2020-02-13T20:30:00.000+1100,59
2020-02-13T21:00:00.000+1100,36
2020-02-13T21:30:00.000+1100,17
2020-02-13T22:00:00.000+1100,5
2020-02-13T22:30:00.000+1100,5
2020-02-13T23:00:00.000+1100,8
2020-02-13T23:30:00.000+1100,5
2020-02-14T00:00:00.000+1100,38
2020-02-14T00:30:00.000+1100,7
2020-02-14T01:00:00.000+1100,91
2020-02-14T01:30:00.000+1100,6
2020-02-14T02:00:00.000+1100,5
2020-02-14T02:30:00.000+1100,6
2020-02-14T03:00:00.000+1100,5
2020-02-14T03:30:00.000+1100,5
2020-02-14T04:00:00.000+1100,49
